年度,縣市別,行業別,統計項目,單位,中小企業,大企業
2014,臺北市,醫療保健及社會工作服務業,銷售額,百萬元,978,2701
2014,新北市,醫療保健及社會工作服務業,銷售額,百萬元,209,*
2014,桃園縣,醫療保健及社會工作服務業,銷售額,百萬元,77,*
2014,臺中市,醫療保健及社會工作服務業,銷售額,百萬元,177,*
2014,臺南市,醫療保健及社會工作服務業,銷售額,百萬元,145,0
2014,高雄市,醫療保健及社會工作服務業,銷售額,百萬元,195,*
2014,基隆市,醫療保健及社會工作服務業,銷售額,百萬元,19,0
2014,宜蘭縣,醫療保健及社會工作服務業,銷售額,百萬元,20,0
2014,新竹市,醫療保健及社會工作服務業,銷售額,百萬元,39,0
2014,新竹縣,醫療保健及社會工作服務業,銷售額,百萬元,77,0
2014,苗栗縣,醫療保健及社會工作服務業,銷售額,百萬元,16,0
2014,彰化縣,醫療保健及社會工作服務業,銷售額,百萬元,33,0
2014,南投縣,醫療保健及社會工作服務業,銷售額,百萬元,26,0
2014,雲林縣,醫療保健及社會工作服務業,銷售額,百萬元,20,0
2014,嘉義市,醫療保健及社會工作服務業,銷售額,百萬元,30,0
2014,嘉義縣,醫療保健及社會工作服務業,銷售額,百萬元,0,0
2014,屏東縣,醫療保健及社會工作服務業,銷售額,百萬元,28,0
2014,澎湖縣,醫療保健及社會工作服務業,銷售額,百萬元,1,0
2014,花蓮縣,醫療保健及社會工作服務業,銷售額,百萬元,76,0
2014,臺東縣,醫療保健及社會工作服務業,銷售額,百萬元,16,0
2014,金門縣,醫療保健及社會工作服務業,銷售額,百萬元,2,0
2014,連江縣,醫療保健及社會工作服務業,銷售額,百萬元,0,0
2014,總計,藝術、娛樂及休閒服務業,銷售額,百萬元,50765,34624
2014,臺北市,藝術、娛樂及休閒服務業,銷售額,百萬元,13203,16155
2014,新北市,藝術、娛樂及休閒服務業,銷售額,百萬元,6592,3994
2014,桃園縣,藝術、娛樂及休閒服務業,銷售額,百萬元,3611,2720
2014,臺中市,藝術、娛樂及休閒服務業,銷售額,百萬元,5893,1229
2014,臺南市,藝術、娛樂及休閒服務業,銷售額,百萬元,3711,858
2014,高雄市,藝術、娛樂及休閒服務業,銷售額,百萬元,5789,1933
2014,基隆市,藝術、娛樂及休閒服務業,銷售額,百萬元,924,0
2014,宜蘭縣,藝術、娛樂及休閒服務業,銷售額,百萬元,949,*
2014,新竹市,藝術、娛樂及休閒服務業,銷售額,百萬元,1132,*
2014,新竹縣,藝術、娛樂及休閒服務業,銷售額,百萬元,1084,1612
2014,苗栗縣,藝術、娛樂及休閒服務業,銷售額,百萬元,711,*
2014,彰化縣,藝術、娛樂及休閒服務業,銷售額,百萬元,1514,*
2014,南投縣,藝術、娛樂及休閒服務業,銷售額,百萬元,917,*
2014,雲林縣,藝術、娛樂及休閒服務業,銷售額,百萬元,748,*
2014,嘉義市,藝術、娛樂及休閒服務業,銷售額,百萬元,819,0
2014,嘉義縣,藝術、娛樂及休閒服務業,銷售額,百萬元,408,*
2014,屏東縣,藝術、娛樂及休閒服務業,銷售額,百萬元,1404,*
2014,澎湖縣,藝術、娛樂及休閒服務業,銷售額,百萬元,184,0
2014,花蓮縣,藝術、娛樂及休閒服務業,銷售額,百萬元,596,*
2014,臺東縣,藝術、娛樂及休閒服務業,銷售額,百萬元,403,0
2014,金門縣,藝術、娛樂及休閒服務業,銷售額,百萬元,129,0
2014,連江縣,藝術、娛樂及休閒服務業,銷售額,百萬元,43,0
2014,總計,其他服務業,銷售額,百萬元,118670,108849
2014,臺北市,其他服務業,銷售額,百萬元,23253,60452
2014,新北市,其他服務業,銷售額,百萬元,14619,8762
2014,桃園縣,其他服務業,銷售額,百萬元,9568,8048
2014,臺中市,其他服務業,銷售額,百萬元,14779,7676
2014,臺南市,其他服務業,銷售額,百萬元,9576,1243
2014,高雄市,其他服務業,銷售額,百萬元,14203,8065
2014,基隆市,其他服務業,銷售額,百萬元,1739,*
2014,宜蘭縣,其他服務業,銷售額,百萬元,2191,*
2014,新竹市,其他服務業,銷售額,百萬元,2806,2006
2014,新竹縣,其他服務業,銷售額,百萬元,2599,*
2014,苗栗縣,其他服務業,銷售額,百萬元,2155,*
2014,彰化縣,其他服務業,銷售額,百萬元,5899,1897
2014,南投縣,其他服務業,銷售額,百萬元,2125,*
2014,雲林縣,其他服務業,銷售額,百萬元,2560,*
2014,嘉義市,其他服務業,銷售額,百萬元,2039,*
2014,嘉義縣,其他服務業,銷售額,百萬元,1622,*
2014,屏東縣,其他服務業,銷售額,百萬元,3771,*
2014,澎湖縣,其他服務業,銷售額,百萬元,376,0
2014,花蓮縣,其他服務業,銷售額,百萬元,1668,0
2014,臺東縣,其他服務業,銷售額,百萬元,820,*
2014,金門縣,其他服務業,銷售額,百萬元,260,0
2014,連江縣,其他服務業,銷售額,百萬元,41,0
2015,總計,農林漁牧業,銷售額,百萬元,23872,22702
2015,臺北市,農林漁牧業,銷售額,百萬元,1990,8604
2015,新北市,農林漁牧業,銷售額,百萬元,1545,856
2015,桃園縣,農林漁牧業,銷售額,百萬元,1528,953
2015,臺中市,農林漁牧業,銷售額,百萬元,1421,950
2015,臺南市,農林漁牧業,銷售額,百萬元,1552,3634
2015,高雄市,農林漁牧業,銷售額,百萬元,7052,1605
2015,基隆市,農林漁牧業,銷售額,百萬元,124,0
2015,宜蘭縣,農林漁牧業,銷售額,百萬元,640,0
2015,新竹市,農林漁牧業,銷售額,百萬元,57,117
2015,新竹縣,農林漁牧業,銷售額,百萬元,357,284
2015,苗栗縣,農林漁牧業,銷售額,百萬元,400,164
2015,彰化縣,農林漁牧業,銷售額,百萬元,1567,1126
2015,南投縣,農林漁牧業,銷售額,百萬元,1023,365
2015,雲林縣,農林漁牧業,銷售額,百萬元,960,343
2015,嘉義市,農林漁牧業,銷售額,百萬元,121,0
2015,嘉義縣,農林漁牧業,銷售額,百萬元,867,1373
2015,屏東縣,農林漁牧業,銷售額,百萬元,1725,2327
2015,澎湖縣,農林漁牧業,銷售額,百萬元,106,0
2015,花蓮縣,農林漁牧業,銷售額,百萬元,337,0
2015,臺東縣,農林漁牧業,銷售額,百萬元,399,0
2015,金門縣,農林漁牧業,銷售額,百萬元,95,0
2015,連江縣,農林漁牧業,銷售額,百萬元,4,0
2015,總計,礦業及土石採取業,銷售額,百萬元,32210,12787
2015,臺北市,礦業及土石採取業,銷售額,百萬元,1067,7740
2015,新北市,礦業及土石採取業,銷售額,百萬元,2349,528
2015,桃園縣,礦業及土石採取業,銷售額,百萬元,1662,10
2015,臺中市,礦業及土石採取業,銷售額,百萬元,3332,541
2015,臺南市,礦業及土石採取業,銷售額,百萬元,716,0
2015,高雄市,礦業及土石採取業,銷售額,百萬元,1753,2736
2015,基隆市,礦業及土石採取業,銷售額,百萬元,4241,0
2015,宜蘭縣,礦業及土石採取業,銷售額,百萬元,2326,0
2015,新竹市,礦業及土石採取業,銷售額,百萬元,187,0
2015,新竹縣,礦業及土石採取業,銷售額,百萬元,1546,192
2015,苗栗縣,礦業及土石採取業,銷售額,百萬元,1441,605
2015,彰化縣,礦業及土石採取業,銷售額,百萬元,489,0
2015,南投縣,礦業及土石採取業,銷售額,百萬元,2197,0
2015,雲林縣,礦業及土石採取業,銷售額,百萬元,760,0
2015,嘉義市,礦業及土石採取業,銷售額,百萬元,7,0
2015,嘉義縣,礦業及土石採取業,銷售額,百萬元,97,0
2015,屏東縣,礦業及土石採取業,銷售額,百萬元,1742,0
2015,澎湖縣,礦業及土石採取業,銷售額,百萬元,429,0
2015,花蓮縣,礦業及土石採取業,銷售額,百萬元,3169,435
2015,臺東縣,礦業及土石採取業,銷售額,百萬元,1166,0
2015,金門縣,礦業及土石採取業,銷售額,百萬元,1533,0
2015,連江縣,礦業及土石採取業,銷售額,百萬元,0,0
2015,總計,製造業,銷售額,百萬元,4140270,9821836
2015,臺北市,製造業,銷售額,百萬元,236415,1619317
2015,新北市,製造業,銷售額,百萬元,683344,800300
2015,桃園縣,製造業,銷售額,百萬元,544910,960786
2015,臺中市,製造業,銷售額,百萬元,722344,802721
2015,臺南市,製造業,銷售額,百萬元,436041,686073
2015,高雄市,製造業,銷售額,百萬元,403151,1238718
2015,基隆市,製造業,銷售額,百萬元,11656,13011
2015,宜蘭縣,製造業,銷售額,百萬元,66650,33461
2015,新竹市,製造業,銷售額,百萬元,67081,1397964
2015,新竹縣,製造業,銷售額,百萬元,80563,475186
2015,苗栗縣,製造業,銷售額,百萬元,137795,363732
2015,彰化縣,製造業,銷售額,百萬元,330449,440809
2015,南投縣,製造業,銷售額,百萬元,44316,84592
2015,雲林縣,製造業,銷售額,百萬元,201001,778333
2015,嘉義市,製造業,銷售額,百萬元,22342,4115
2015,嘉義縣,製造業,銷售額,百萬元,89427,43965
2015,屏東縣,製造業,銷售額,百萬元,43034,60251
2015,澎湖縣,製造業,銷售額,百萬元,683,0
2015,花蓮縣,製造業,銷售額,百萬元,14205,6760
2015,臺東縣,製造業,銷售額,百萬元,3626,0
2015,金門縣,製造業,銷售額,百萬元,1217,11391
2015,連江縣,製造業,銷售額,百萬元,17,352
2015,總計,電力及燃氣供應業,銷售額,百萬元,5295,890214
2015,臺北市,電力及燃氣供應業,銷售額,百萬元,787,77250
2015,新北市,電力及燃氣供應業,銷售額,百萬元,677,47611
2015,桃園縣,電力及燃氣供應業,銷售額,百萬元,23,105573
2015,臺中市,電力及燃氣供應業,銷售額,百萬元,244,105630
2015,臺南市,電力及燃氣供應業,銷售額,百萬元,546,102752
2015,高雄市,電力及燃氣供應業,銷售額,百萬元,658,167715
2015,基隆市,電力及燃氣供應業,銷售額,百萬元,92,10641
2015,宜蘭縣,電力及燃氣供應業,銷售額,百萬元,271,339
2015,新竹市,電力及燃氣供應業,銷售額,百萬元,146,67133
2015,新竹縣,電力及燃氣供應業,銷售額,百萬元,133,11380
2015,苗栗縣,電力及燃氣供應業,銷售額,百萬元,140,49139
2015,彰化縣,電力及燃氣供應業,銷售額,百萬元,18,39198
2015,南投縣,電力及燃氣供應業,銷售額,百萬元,409,14192
2015,雲林縣,電力及燃氣供應業,銷售額,百萬元,123,27843
2015,嘉義市,電力及燃氣供應業,銷售額,百萬元,460,8710
2015,嘉義縣,電力及燃氣供應業,銷售額,百萬元,140,9287
2015,屏東縣,電力及燃氣供應業,銷售額,百萬元,216,14084
2015,澎湖縣,電力及燃氣供應業,銷售額,百萬元,172,1188
2015,花蓮縣,電力及燃氣供應業,銷售額,百萬元,39,26647
2015,臺東縣,電力及燃氣供應業,銷售額,百萬元,2,2649
2015,金門縣,電力及燃氣供應業,銷售額,百萬元,0,1062
2015,連江縣,電力及燃氣供應業,銷售額,百萬元,0,191
2015,總計,用水供應及污染整治業,銷售額,百萬元,55929,111850
2015,臺北市,用水供應及污染整治業,銷售額,百萬元,5149,20368
2015,新北市,用水供應及污染整治業,銷售額,百萬元,8087,5960
2015,桃園縣,用水供應及污染整治業,銷售額,百萬元,7355,20746
2015,臺中市,用水供應及污染整治業,銷售額,百萬元,8038,11873
2015,臺南市,用水供應及污染整治業,銷售額,百萬元,4594,7460
2015,高雄市,用水供應及污染整治業,銷售額,百萬元,9116,26554
2015,基隆市,用水供應及污染整治業,銷售額,百萬元,693,464
2015,宜蘭縣,用水供應及污染整治業,銷售額,百萬元,628,724
2015,新竹市,用水供應及污染整治業,銷售額,百萬元,1129,2210
2015,新竹縣,用水供應及污染整治業,銷售額,百萬元,1012,2339
2015,苗栗縣,用水供應及污染整治業,銷售額,百萬元,1059,736
2015,彰化縣,用水供應及污染整治業,銷售額,百萬元,2491,3654
2015,南投縣,用水供應及污染整治業,銷售額,百萬元,856,467
2015,雲林縣,用水供應及污染整治業,銷售額,百萬元,1688,2390
2015,嘉義市,用水供應及污染整治業,銷售額,百萬元,390,693
2015,嘉義縣,用水供應及污染整治業,銷售額,百萬元,1237,1605
2015,屏東縣,用水供應及污染整治業,銷售額,百萬元,1111,3174
2015,澎湖縣,用水供應及污染整治業,銷售額,百萬元,117,0
2015,花蓮縣,用水供應及污染整治業,銷售額,百萬元,593,292
2015,臺東縣,用水供應及污染整治業,銷售額,百萬元,327,139
2015,金門縣,用水供應及污染整治業,銷售額,百萬元,212,0
2015,連江縣,用水供應及污染整治業,銷售額,百萬元,47,0
2015,總計,營造業,銷售額,百萬元,1459301,770951
2015,臺北市,營造業,銷售額,百萬元,250587,431085
2015,新北市,營造業,銷售額,百萬元,265334,78365
2015,桃園縣,營造業,銷售額,百萬元,146625,27193
2015,臺中市,營造業,銷售額,百萬元,188792,82704
2015,臺南市,營造業,銷售額,百萬元,75797,21928
2015,高雄市,營造業,銷售額,百萬元,192892,78405
2015,基隆市,營造業,銷售額,百萬元,14413,163
2015,宜蘭縣,營造業,銷售額,百萬元,26211,5561
2015,新竹市,營造業,銷售額,百萬元,37475,14404
2015,新竹縣,營造業,銷售額,百萬元,38804,11262
2015,苗栗縣,營造業,銷售額,百萬元,25279,3827
2015,彰化縣,營造業,銷售額,百萬元,45090,1844
2015,南投縣,營造業,銷售額,百萬元,16049,691
2015,雲林縣,營造業,銷售額,百萬元,47394,2869
2015,嘉義市,營造業,銷售額,百萬元,12666,3086
2015,嘉義縣,營造業,銷售額,百萬元,16498,1419
2015,屏東縣,營造業,銷售額,百萬元,24757,1982
2015,澎湖縣,營造業,銷售額,百萬元,3732,542
2015,花蓮縣,營造業,銷售額,百萬元,14228,2853
2015,臺東縣,營造業,銷售額,百萬元,7264,535
2015,金門縣,營造業,銷售額,百萬元,8446,54
2015,連江縣,營造業,銷售額,百萬元,966,180
2015,總計,批發及零售業,銷售額,百萬元,4316503,9370146
2015,臺北市,批發及零售業,銷售額,百萬元,920704,4288054
2015,新北市,批發及零售業,銷售額,百萬元,760025,1137099
2015,桃園縣,批發及零售業,銷售額,百萬元,380837,765618
2015,臺中市,批發及零售業,銷售額,百萬元,591255,757224
2015,臺南市,批發及零售業,銷售額,百萬元,305111,421781
2015,高雄市,批發及零售業,銷售額,百萬元,506938,944087
2015,基隆市,批發及零售業,銷售額,百萬元,35753,16113
2015,宜蘭縣,批發及零售業,銷售額,百萬元,50127,40552
2015,新竹市,批發及零售業,銷售額,百萬元,74074,204773
2015,新竹縣,批發及零售業,銷售額,百萬元,78819,158435
2015,苗栗縣,批發及零售業,銷售額,百萬元,54468,115030
2015,彰化縣,批發及零售業,銷售額,百萬元,184607,163785
2015,南投縣,批發及零售業,銷售額,百萬元,48682,33832
2015,雲林縣,批發及零售業,銷售額,百萬元,65392,69468
2015,嘉義市,批發及零售業,銷售額,百萬元,47338,65296
2015,嘉義縣,批發及零售業,銷售額,百萬元,44906,35308
2015,屏東縣,批發及零售業,銷售額,百萬元,80251,87936
2015,澎湖縣,批發及零售業,銷售額,百萬元,8406,4919
2015,花蓮縣,批發及零售業,銷售額,百萬元,40265,33002
2015,臺東縣,批發及零售業,銷售額,百萬元,21738,21153
2015,金門縣,批發及零售業,銷售額,百萬元,15876,6496
2015,連江縣,批發及零售業,銷售額,百萬元,931,185
2015,總計,運輸及倉儲業,銷售額,百萬元,269441,867056
2015,臺北市,運輸及倉儲業,銷售額,百萬元,50278,491182
2015,新北市,運輸及倉儲業,銷售額,百萬元,31553,78596
2015,桃園縣,運輸及倉儲業,銷售額,百萬元,29162,118492
2015,臺中市,運輸及倉儲業,銷售額,百萬元,30138,28465
2015,臺南市,運輸及倉儲業,銷售額,百萬元,14543,9612
2015,高雄市,運輸及倉儲業,銷售額,百萬元,49493,78985
2015,基隆市,運輸及倉儲業,銷售額,百萬元,11060,22984
2015,宜蘭縣,運輸及倉儲業,銷售額,百萬元,6565,2683
2015,新竹市,運輸及倉儲業,銷售額,百萬元,2697,4774
2015,新竹縣,運輸及倉儲業,銷售額,百萬元,4536,5058
2015,苗栗縣,運輸及倉儲業,銷售額,百萬元,4359,1660
2015,彰化縣,運輸及倉儲業,銷售額,百萬元,9844,3550
2015,南投縣,運輸及倉儲業,銷售額,百萬元,3618,686
2015,雲林縣,運輸及倉儲業,銷售額,百萬元,4501,6889
2015,嘉義市,運輸及倉儲業,銷售額,百萬元,3156,1273
2015,嘉義縣,運輸及倉儲業,銷售額,百萬元,2330,3014
2015,屏東縣,運輸及倉儲業,銷售額,百萬元,3798,709
2015,澎湖縣,運輸及倉儲業,銷售額,百萬元,1087,1422
2015,花蓮縣,運輸及倉儲業,銷售額,百萬元,3584,2265
2015,臺東縣,運輸及倉儲業,銷售額,百萬元,1461,1981
2015,金門縣,運輸及倉儲業,銷售額,百萬元,1338,2321
2015,連江縣,運輸及倉儲業,銷售額,百萬元,342,455
2015,總計,住宿及餐飲業,銷售額,百萬元,400811,173389
2015,臺北市,住宿及餐飲業,銷售額,百萬元,99373,89202
2015,新北市,住宿及餐飲業,銷售額,百萬元,47480,8026
2015,桃園縣,住宿及餐飲業,銷售額,百萬元,32997,13981
2015,臺中市,住宿及餐飲業,銷售額,百萬元,50194,13230
2015,臺南市,住宿及餐飲業,銷售額,百萬元,28074,6170
2015,高雄市,住宿及餐飲業,銷售額,百萬元,45443,13240
2015,基隆市,住宿及餐飲業,銷售額,百萬元,4840,319
2015,宜蘭縣,住宿及餐飲業,銷售額,百萬元,7264,3613
2015,新竹市,住宿及餐飲業,銷售額,百萬元,9621,3337
2015,新竹縣,住宿及餐飲業,銷售額,百萬元,8082,2744
2015,苗栗縣,住宿及餐飲業,銷售額,百萬元,6212,340
2015,彰化縣,住宿及餐飲業,銷售額,百萬元,11370,893
2015,南投縣,住宿及餐飲業,銷售額,百萬元,7868,3324
2015,雲林縣,住宿及餐飲業,銷售額,百萬元,4717,389
2015,嘉義市,住宿及餐飲業,銷售額,百萬元,6452,2900
2015,嘉義縣,住宿及餐飲業,銷售額,百萬元,3797,650
2015,屏東縣,住宿及餐飲業,銷售額,百萬元,10715,5009
2015,澎湖縣,住宿及餐飲業,銷售額,百萬元,1781,137
2015,花蓮縣,住宿及餐飲業,銷售額,百萬元,8118,3012
2015,臺東縣,住宿及餐飲業,銷售額,百萬元,5038,2692
2015,金門縣,住宿及餐飲業,銷售額,百萬元,1125,180
2015,連江縣,住宿及餐飲業,銷售額,百萬元,249,0
2015,總計,資訊及通訊傳播業,銷售額,百萬元,117262,952733
2015,臺北市,資訊及通訊傳播業,銷售額,百萬元,61744,688007
2015,新北市,資訊及通訊傳播業,銷售額,百萬元,18635,84148
2015,桃園縣,資訊及通訊傳播業,銷售額,百萬元,4770,9739
2015,臺中市,資訊及通訊傳播業,銷售額,百萬元,9617,35306
2015,臺南市,資訊及通訊傳播業,銷售額,百萬元,4015,15693
2015,高雄市,資訊及通訊傳播業,銷售額,百萬元,7396,33476
2015,基隆市,資訊及通訊傳播業,銷售額,百萬元,680,5078
2015,宜蘭縣,資訊及通訊傳播業,銷售額,百萬元,510,3382
2015,新竹市,資訊及通訊傳播業,銷售額,百萬元,2641,21374
2015,新竹縣,資訊及通訊傳播業,銷售額,百萬元,1835,17632
2015,苗栗縣,資訊及通訊傳播業,銷售額,百萬元,772,4466
2015,彰化縣,資訊及通訊傳播業,銷售額,百萬元,990,8571
2015,南投縣,資訊及通訊傳播業,銷售額,百萬元,637,3635
2015,雲林縣,資訊及通訊傳播業,銷售額,百萬元,662,4337
2015,嘉義市,資訊及通訊傳播業,銷售額,百萬元,595,4414
2015,嘉義縣,資訊及通訊傳播業,銷售額,百萬元,236,1769
2015,屏東縣,資訊及通訊傳播業,銷售額,百萬元,556,5226
2015,澎湖縣,資訊及通訊傳播業,銷售額,百萬元,107,825
2015,花蓮縣,資訊及通訊傳播業,銷售額,百萬元,412,3085
2015,臺東縣,資訊及通訊傳播業,銷售額,百萬元,174,1815
2015,金門縣,資訊及通訊傳播業,銷售額,百萬元,266,568
2015,連江縣,資訊及通訊傳播業,銷售額,百萬元,12,189
2015,總計,金融及保險業,銷售額,百萬元,202960,2195457
2015,臺北市,金融及保險業,銷售額,百萬元,68550,1834244
2015,新北市,金融及保險業,銷售額,百萬元,29743,71555
2015,桃園縣,金融及保險業,銷售額,百萬元,10640,50797
2015,臺中市,金融及保險業,銷售額,百萬元,19872,75950
2015,臺南市,金融及保險業,銷售額,百萬元,12868,27020
2015,高雄市,金融及保險業,銷售額,百萬元,22228,57769
2015,基隆市,金融及保險業,銷售額,百萬元,2712,2878
2015,宜蘭縣,金融及保險業,銷售額,百萬元,1787,6421
2015,新竹市,金融及保險業,銷售額,百萬元,3563,15871
2015,新竹縣,金融及保險業,銷售額,百萬元,3187,7408
2015,苗栗縣,金融及保險業,銷售額,百萬元,2375,4622
2015,彰化縣,金融及保險業,銷售額,百萬元,7540,11131
2015,南投縣,金融及保險業,銷售額,百萬元,2677,3467
2015,雲林縣,金融及保險業,銷售額,百萬元,2896,6515
2015,嘉義市,金融及保險業,銷售額,百萬元,2836,4826
2015,嘉義縣,金融及保險業,銷售額,百萬元,1183,4487
2015,屏東縣,金融及保險業,銷售額,百萬元,4155,5597
2015,澎湖縣,金融及保險業,銷售額,百萬元,553,318
2015,花蓮縣,金融及保險業,銷售額,百萬元,1900,3337
2015,臺東縣,金融及保險業,銷售額,百萬元,1415,990
2015,金門縣,金融及保險業,銷售額,百萬元,270,254
2015,連江縣,金融及保險業,銷售額,百萬元,10,0
2015,總計,不動產業,銷售額,百萬元,237569,879142
2015,臺北市,不動產業,銷售額,百萬元,58041,432430
2015,新北市,不動產業,銷售額,百萬元,32896,115933
2015,桃園縣,不動產業,銷售額,百萬元,19951,51195
2015,臺中市,不動產業,銷售額,百萬元,34502,141337
2015,臺南市,不動產業,銷售額,百萬元,17071,25327
2015,高雄市,不動產業,銷售額,百萬元,21083,52031
2015,基隆市,不動產業,銷售額,百萬元,1181,1324
2015,宜蘭縣,不動產業,銷售額,百萬元,5839,2100
2015,新竹市,不動產業,銷售額,百萬元,6685,19371
2015,新竹縣,不動產業,銷售額,百萬元,6094,19060
2015,苗栗縣,不動產業,銷售額,百萬元,4641,2710
2015,彰化縣,不動產業,銷售額,百萬元,8794,5054
2015,南投縣,不動產業,銷售額,百萬元,2293,592
2015,雲林縣,不動產業,銷售額,百萬元,3291,3264
2015,嘉義市,不動產業,銷售額,百萬元,3816,1528
2015,嘉義縣,不動產業,銷售額,百萬元,1610,891
2015,屏東縣,不動產業,銷售額,百萬元,2929,1450
2015,澎湖縣,不動產業,銷售額,百萬元,664,0
2015,花蓮縣,不動產業,銷售額,百萬元,3084,1720
2015,臺東縣,不動產業,銷售額,百萬元,1441,912
2015,金門縣,不動產業,銷售額,百萬元,1660,914
2015,連江縣,不動產業,銷售額,百萬元,1,0
2015,總計,專業、科學及技術服務業,銷售額,百萬元,210016,471920
2015,臺北市,專業、科學及技術服務業,銷售額,百萬元,98479,262003
2015,新北市,專業、科學及技術服務業,銷售額,百萬元,31853,42841
2015,桃園縣,專業、科學及技術服務業,銷售額,百萬元,13684,23625
2015,臺中市,專業、科學及技術服務業,銷售額,百萬元,22685,14555
2015,臺南市,專業、科學及技術服務業,銷售額,百萬元,7889,3318
2015,高雄市,專業、科學及技術服務業,銷售額,百萬元,15052,13311
2015,基隆市,專業、科學及技術服務業,銷售額,百萬元,1028,442
2015,宜蘭縣,專業、科學及技術服務業,銷售額,百萬元,1613,124
2015,新竹市,專業、科學及技術服務業,銷售額,百萬元,3616,30296
2015,新竹縣,專業、科學及技術服務業,銷售額,百萬元,3656,75010
2015,苗栗縣,專業、科學及技術服務業,銷售額,百萬元,1076,2399
2015,彰化縣,專業、科學及技術服務業,銷售額,百萬元,2309,1237
2015,南投縣,專業、科學及技術服務業,銷售額,百萬元,1168,108
2015,雲林縣,專業、科學及技術服務業,銷售額,百萬元,1409,235
2015,嘉義市,專業、科學及技術服務業,銷售額,百萬元,1080,1044
2015,嘉義縣,專業、科學及技術服務業,銷售額,百萬元,807,268
2015,屏東縣,專業、科學及技術服務業,銷售額,百萬元,1094,711
2015,澎湖縣,專業、科學及技術服務業,銷售額,百萬元,40,0
2015,花蓮縣,專業、科學及技術服務業,銷售額,百萬元,669,394
2015,臺東縣,專業、科學及技術服務業,銷售額,百萬元,467,0
2015,金門縣,專業、科學及技術服務業,銷售額,百萬元,265,0
2015,連江縣,專業、科學及技術服務業,銷售額,百萬元,76,0
2015,總計,支援服務業,銷售額,百萬元,142999,367866
2015,臺北市,支援服務業,銷售額,百萬元,35017,292088
2015,新北市,支援服務業,銷售額,百萬元,21129,16970
2015,桃園縣,支援服務業,銷售額,百萬元,17279,7556
2015,臺中市,支援服務業,銷售額,百萬元,18305,13030
2015,臺南市,支援服務業,銷售額,百萬元,7355,5023
2015,高雄市,支援服務業,銷售額,百萬元,17624,17678
2015,基隆市,支援服務業,銷售額,百萬元,1567,142
2015,宜蘭縣,支援服務業,銷售額,百萬元,1220,717
2015,新竹市,支援服務業,銷售額,百萬元,3771,5039
2015,新竹縣,支援服務業,銷售額,百萬元,2844,3705
2015,苗栗縣,支援服務業,銷售額,百萬元,2249,532
2015,彰化縣,支援服務業,銷售額,百萬元,3174,1834
2015,南投縣,支援服務業,銷售額,百萬元,1233,126
2015,雲林縣,支援服務業,銷售額,百萬元,1533,633
2015,嘉義市,支援服務業,銷售額,百萬元,1527,383
2015,嘉義縣,支援服務業,銷售額,百萬元,1344,1921
2015,屏東縣,支援服務業,銷售額,百萬元,1848,316
2015,澎湖縣,支援服務業,銷售額,百萬元,743,0
2015,花蓮縣,支援服務業,銷售額,百萬元,1560,174
2015,臺東縣,支援服務業,銷售額,百萬元,927,0
2015,金門縣,支援服務業,銷售額,百萬元,692,0
2015,連江縣,支援服務業,銷售額,百萬元,58,0
2015,總計,教育服務業,銷售額,百萬元,10099,4237
2015,臺北市,教育服務業,銷售額,百萬元,3495,2073
2015,新北市,教育服務業,銷售額,百萬元,1028,0
2015,桃園縣,教育服務業,銷售額,百萬元,659,1211
2015,臺中市,教育服務業,銷售額,百萬元,1430,409
2015,臺南市,教育服務業,銷售額,百萬元,656,0
2015,高雄市,教育服務業,銷售額,百萬元,1366,544
2015,基隆市,教育服務業,銷售額,百萬元,22,0
2015,宜蘭縣,教育服務業,銷售額,百萬元,86,0
2015,新竹市,教育服務業,銷售額,百萬元,384,0
2015,新竹縣,教育服務業,銷售額,百萬元,101,0
2015,苗栗縣,教育服務業,銷售額,百萬元,70,0
2015,彰化縣,教育服務業,銷售額,百萬元,177,0
2015,南投縣,教育服務業,銷售額,百萬元,63,0
2015,雲林縣,教育服務業,銷售額,百萬元,89,0
2015,嘉義市,教育服務業,銷售額,百萬元,192,0
2015,嘉義縣,教育服務業,銷售額,百萬元,20,0
2015,屏東縣,教育服務業,銷售額,百萬元,166,0
2015,澎湖縣,教育服務業,銷售額,百萬元,11,0
2015,花蓮縣,教育服務業,銷售額,百萬元,30,0
2015,臺東縣,教育服務業,銷售額,百萬元,46,0
2015,金門縣,教育服務業,銷售額,百萬元,8,0
2015,連江縣,教育服務業,銷售額,百萬元,1,0
2015,總計,醫療保健及社會工作服務業,銷售額,百萬元,2579,9778
2015,臺北市,醫療保健及社會工作服務業,銷售額,百萬元,1114,2909
2015,新北市,醫療保健及社會工作服務業,銷售額,百萬元,290,496
2015,桃園縣,醫療保健及社會工作服務業,銷售額,百萬元,140,2614
2015,臺中市,醫療保健及社會工作服務業,銷售額,百萬元,223,493
2015,臺南市,醫療保健及社會工作服務業,銷售額,百萬元,181,0
2015,高雄市,醫療保健及社會工作服務業,銷售額,百萬元,207,3265
2015,基隆市,醫療保健及社會工作服務業,銷售額,百萬元,20,0
2015,宜蘭縣,醫療保健及社會工作服務業,銷售額,百萬元,25,0
2015,新竹市,醫療保健及社會工作服務業,銷售額,百萬元,29,0
2015,新竹縣,醫療保健及社會工作服務業,銷售額,百萬元,88,0
2015,苗栗縣,醫療保健及社會工作服務業,銷售額,百萬元,6,0
